order_id;package_id;package_volume;delivery_location;from_warehouse;order_date;delivered_date;n_units;order_total_volume
ZywYNdr4XrypNEvFNNWt3v;DcJVvos8XBfEHvpZxCXNAm;0,4343;Carrières-sur-Seine;Cergy;01/01/2021;06/01/2021 00:00;38;16,5034
fyWAKW8tDRTSmnminCh4xT;QRmisgbikehbekbCq6gcf7;1,8776;Pau;Montauban;01/01/2021;13/01/2021 00:00;15;28,164
mqZB4N4FVhW2vDN2K5cga7;6H7ukEuzfShov54gB3sN6V;0,002;Boulogne-Billancourt;Cergy;01/01/2021;03/01/2021 00:00;34;0,068
V5zXFu5KJzuk4AmBW6Tefd;FNB2bjUdGBUEitpecFRAaL;2,0644;Paris;Cergy;01/01/2021;09/01/2021 00:00;28;57,8032
SqkY53pbq5ncQqDhxHcSuV;khHNUxYZUEEiRkaVe2FyXg;2,0028;Perpignan;Montauban;01/01/2021;15/01/2021 00:00;27;54,0756
EsxsznGvNqPivXJhojRzrt;CzqGKwaKFSS6xN4Dq98RAh;0,7247;Montélimar;Avignon;01/01/2021;08/01/2021 00:00;48;34,7856
g7NGkGGgtZh7YiQWSGx2kU;DcJVvos8XBfEHvpZxCXNAm;0,4343;Roubaix;Reims;01/01/2021;06/01/2021 00:00;43;18,6749
jnsH9ndQ3UKcWSbb2UMkFn;WsxuxUmaHe5iUdAPmDqQoB;0,1257;Bourges;Clermont-Ferrand;01/01/2021;02/01/2021 00:00;47;5,9079
JHptWdvmjhsLptw6mbh3PH;KmBprCffsWobByaWonfSXN;0,0485;Antony;Cergy;01/01/2021;02/01/2021 00:00;48;2,328
TWn7ZQtGikzhQ4RvLeVbU5;UPowTjKefgdmoKF4uF23CS;0,002;Aubervilliers;Cergy;01/01/2021;02/01/2021 00:00;6;0,012
gNvydNYZyX6aS2b5FC5uVZ;CSHLSZE9QNDc8FW85XQpcK;0,072;Niort;Montauban;01/01/2021;04/01/2021 00:00;41;2,952
SK3ZHMGM4wbUeX7BHH4mxY;jjnvac3HYvsrBQp9jxf5qj;1,0615;Amiens;Cergy;01/01/2021;09/01/2021 00:00;22;23,353
nCFxxuw6NvLyV7GLjGQJ3D;khHNUxYZUEEiRkaVe2FyXg;2,0028;Roubaix;Reims;01/01/2021;07/01/2021 00:00;12;24,0336
Eg39pYRog97FYmpoQoVGmr;QRmisgbikehbekbCq6gcf7;1,8776;Poitiers;Montauban;01/01/2021;08/01/2021 00:00;30;56,328
9w2xRm9bQWGBx6Hr2UGpoT;QRmisgbikehbekbCq6gcf7;1,8776;Caen;Cergy;01/01/2021;11/01/2021 00:00;14;26,2864
RFQRpvZB8qNExvqZ8NutQJ;7yBbrLBAX6TK4FREHb6ABA;0,0021;Saint-Maur-des-Fossés;Cergy;01/01/2021;03/01/2021 00:00;24;0,0504
jmosegvVearffB3DCn63hF;khHNUxYZUEEiRkaVe2FyXg;2,0028;Lorient;Cergy;01/01/2021;10/01/2021 00:00;27;54,0756
BEvzN52yooQkPVCg9mMi8M;2qRALPgMv7KhK4bXqtsNLi;0,0372;Rouen;Cergy;01/01/2021;02/01/2021 00:00;19;0,7068
MPTggv79tQU4w5cUPnvK2b;6H7ukEuzfShov54gB3sN6V;0,002;Antony;Cergy;01/01/2021;03/01/2021 00:00;43;0,086
7bzBdqUKWXyNrAhntXNrBq;KmBprCffsWobByaWonfSXN;0,0485;Épinal;Reims;01/01/2021;02/01/2021 00:00;32;1,552
nCwZnPNdud95BDXsBJnNQK;6H7ukEuzfShov54gB3sN6V;0,002;Courcouronnes;Cergy;01/01/2021;04/01/2021 00:00;41;0,082
GMWW4EcFrcUWheYeiedPMG;4A8XqQW57uG82xfZ7sjp5F;0,1148;Pau;Montauban;01/01/2021;04/01/2021 00:00;42;4,8216
hgBcKDX9pmKcH4MtsBr3uw;FMyrrspTH7vhb6FWL45KhT;0,006;Boulogne-sur-Mer;Cergy;01/01/2021;02/01/2021 00:00;9;0,054
bMXggQG8LTcVezDMj9YABN;mAxZ4tFQt37vYyS2VrYESk;0,226;Annecy;Avignon;01/01/2021;05/01/2021 00:00;35;7,91
Jd3QcWTnvkffFUCWgAeBLd;FMyrrspTH7vhb6FWL45KhT;0,006;Mulhouse;Reims;01/01/2021;03/01/2021 00:00;27;0,162
fKh42m97YeWzTnwV9Jcxiv;Cn4Up5Np6U3s5xh8CDFZ6b;1,4476;Metz;Reims;01/01/2021;11/01/2021 00:00;7;10,1332
W3giPJuvJnAf3Ukrstmqpw;KcEQgPTWKrvayEJwmxoquz;0,2433;Créteil;Cergy;01/01/2021;03/01/2021 00:00;26;6,3258
T48on3t5UkzKjTutK4RohW;aZY3fiBNXajyPoPcgxBmM4;0,002;Courcouronnes;Cergy;01/01/2021;03/01/2021 00:00;18;0,036
VNQA2dsmV3RhPDAmpiHTTo;UPowTjKefgdmoKF4uF23CS;0,002;Annecy;Avignon;01/01/2021;03/01/2021 00:00;23;0,046
aB2HbW2metjvw7BBygwKFh;WsxuxUmaHe5iUdAPmDqQoB;0,1257;Clermont-Ferrand;Clermont-Ferrand;01/01/2021;04/01/2021 00:00;12;1,5084
SaZTLRbMwfuRkd72UMLqFT;QRmisgbikehbekbCq6gcf7;1,8776;Saint-Étienne;Clermont-Ferrand;01/01/2021;10/01/2021 00:00;23;43,1848
UUnavZBfSeNK3n5aKZovFS;5jWDvvcUW6NL9RtTQDNQbH;0,5675;Ivry-sur-Seine;Cergy;01/01/2021;06/01/2021 00:00;43;24,4025
g7JvdYwzWEAu5Ad43s7zr8;jjnvac3HYvsrBQp9jxf5qj;1,0615;Saint-Nazaire;Cergy;01/01/2021;07/01/2021 00:00;13;13,7995
MGxcY3tiJcfxGq4BodMD4T;CzqGKwaKFSS6xN4Dq98RAh;0,7247;Épinay-sur-Seine;Cergy;01/01/2021;06/01/2021 00:00;41;29,7127
fw3FVgrunPjKzxTUctrkkr;F7nPP7x29eJthgWvtQufGb;1,68;Montreuil;Cergy;01/01/2021;10/01/2021 00:00;13;21,84
B3zS8c9G7KvwMPDtQ4gidG;KmBprCffsWobByaWonfSXN;0,0485;Neuilly-sur-Seine;Cergy;01/01/2021;03/01/2021 00:00;30;1,455
2MFgV2VC4UhnHBwS24i5aN;KmBprCffsWobByaWonfSXN;0,0485;Saint-Denis;Cergy;01/01/2021;02/01/2021 00:00;8;0,388
HH3Qpfi4RmEDenEJXBK3Ss;Ma2dD37vT2kVzCKUECJJsi;0,9106;Tours;Cergy;01/01/2021;08/01/2021 00:00;21;19,1226
NrjJfQ2sKvzGXYvXydhbRz;4A8XqQW57uG82xfZ7sjp5F;0,1148;Caen;Cergy;01/01/2021;02/01/2021 00:00;19;2,1812
YC9BAXdLgS2zPPSc2UP7E5;Z8722BWG8WfyrU3jeWsWGo;0,2732;Belfort;Reims;01/01/2021;06/01/2021 00:00;24;6,5568
hTaKTbHz7LUkKW9heaLPBQ;8v3pdBFxHkGYDcAdAzVBD3;0,004;Cannes;Avignon;01/01/2021;03/01/2021 00:00;28;0,112
Vt5YezabQqGeUJx3NjZR96;6H7ukEuzfShov54gB3sN6V;0,002;Nancy;Reims;01/01/2021;03/01/2021 00:00;23;0,046
guYB6ooRJhJtU6rPBx8iJ8;UPowTjKefgdmoKF4uF23CS;0,002;Belfort;Reims;01/01/2021;05/01/2021 00:00;11;0,022
Y5jrbCa3RoE3Z6cph6orCG;iofz8TRLznhCe8MvMf6TDn;0,3444;Nanterre;Cergy;01/01/2021;05/01/2021 00:00;28;9,6432
dZevLCBW5rfKhhsDQdKaSH;WsxuxUmaHe5iUdAPmDqQoB;0,1257;Marseille;Avignon;01/01/2021;04/01/2021 00:00;29;3,6453
QUL4HJucH254WBmCRrpjHE;7yBbrLBAX6TK4FREHb6ABA;0,0021;Niort;Montauban;01/01/2021;03/01/2021 00:00;28;0,0588
jZr9Kn8VdC48pFUaGTxHNt;fURbc9KK9g8UJPezDb3s6u;0,0072;Pantin;Cergy;01/01/2021;05/01/2021 00:00;36;0,2592
nAkUcqNLXBSCVv35brwvW7;KcEQgPTWKrvayEJwmxoquz;0,2433;Bordeaux;Montauban;01/01/2021;04/01/2021 00:00;35;8,5155
WkRAHWCi2m3hRhPw7HFFG8;5jWDvvcUW6NL9RtTQDNQbH;0,5675;Montélimar;Avignon;01/01/2021;08/01/2021 00:00;34;19,295
FFSySs2ZKF2y9QjvRS5LTn;CwNUeLRRdqm5DhwCmr743i;0,2867;Rennes;Cergy;01/01/2021;06/01/2021 00:00;34;9,7478
VkBL7LnJ6L5NaYe4W6pjfT;mAxZ4tFQt37vYyS2VrYESk;0,226;Saint-Denis;Cergy;01/01/2021;04/01/2021 00:00;43;9,718
VmYWfzs2NpfDZ4kVgmoZxi;WsxuxUmaHe5iUdAPmDqQoB;0,1257;Amiens;Cergy;01/01/2021;07/01/2021 00:00;6;0,7542
bMfkB8qjcXDuCzjQQuUihB;YUTZ5KEq8mm7HFJGZqxCxu;0,8208;Épinal;Reims;01/01/2021;07/01/2021 00:00;40;32,832
4jMWAsFMuZg3KthdviFj67;bfvaknKja6jMJYp56vtjgf;0,0072;Montreuil;Cergy;01/01/2021;04/01/2021 00:00;42;0,3024
nur4x5jY4rMFUoFzdvnaEj;3nEPuCWc9cUcPerm6aiJcN;1,7734;Pessac;Montauban;01/01/2021;14/01/2021 00:00;43;76,2562
Wd6rPc4wPRNmt3ruf3F7oL;iEPqJGnxxp6ijYtsFdYCUr;0,163;Saint-Nazaire;Cergy;01/01/2021;02/01/2021 00:00;6;0,978
CKhAcRN6cGn5HfG2xBxrtH;eMZvEhv2562R9UEzTamYtC;2,7234;Paris;Cergy;01/01/2021;09/01/2021 00:00;22;59,9148
FvBzKL6tk5Xey3fZyCSLJm;Cn4Up5Np6U3s5xh8CDFZ6b;1,4476;Pantin;Cergy;01/01/2021;09/01/2021 00:00;39;56,4564
URFeLjZVczKTMmvZfaUQFA;CSHLSZE9QNDc8FW85XQpcK;0,072;Amiens;Cergy;01/01/2021;02/01/2021 00:00;29;2,088
XNDpHCEvsPLEkABDQ35JuU;kAh6oD4y4X3RK3zc5BQeo8;0,002;Bourges;Clermont-Ferrand;01/01/2021;04/01/2021 00:00;43;0,086
eLSjQXUGFKNA4EP3zXGDxm;Nf8NfkMPuqUknmHtkq7w4c;0,1266;Le Mans;Cergy;01/01/2021;04/01/2021 00:00;44;5,5704
BeerXT3U2LsPUc3Mur92qJ;6H7ukEuzfShov54gB3sN6V;0,002;Issy-les-Moulineaux;Cergy;01/01/2021;02/01/2021 00:00;24;0,048
YisRfRVyRNHqf5dp36tnh5;KmBprCffsWobByaWonfSXN;0,0485;Issy-les-Moulineaux;Cergy;01/01/2021;03/01/2021 00:00;21;1,0185
BgjrKp8jpWqn488HxNby5u;eMZvEhv2562R9UEzTamYtC;2,7234;Dijon;Reims;01/01/2021;15/01/2021 00:00;10;27,234
9bKk7LFbRyeFT9ri5f6eCT;mnEb7xGXa9dFMLPAkrZZoh;1,4152;Boulogne-sur-Mer;Cergy;01/01/2021;10/01/2021 00:00;36;50,9472
V9Qu9WH8bLmNkdAs6LvUsE;Z8722BWG8WfyrU3jeWsWGo;0,2732;Pau;Montauban;01/01/2021;05/01/2021 00:00;42;11,4744
dVWX9RVpL5KAxG2ver6s8h;CzqGKwaKFSS6xN4Dq98RAh;0,7247;Lille;Reims;01/01/2021;10/01/2021 00:00;31;22,4657
fUh9atnuQAKSbYaws8ZQPG;5jWDvvcUW6NL9RtTQDNQbH;0,5675;Nantes;Cergy;01/01/2021;07/01/2021 00:00;38;21,565
mz6yJynd6EzWaSbKFHXwQs;YUTZ5KEq8mm7HFJGZqxCxu;0,8208;Dunkerque;Cergy;01/01/2021;08/01/2021 00:00;45;36,936
X6r8v76WyEedHt2Mgc7NvF;aBCDNfWx5TAkxbTTmQJEE4;0,1138;Mérignac;Montauban;01/01/2021;04/01/2021 00:00;39;4,4382
M5bsosJCsKWp9dshE4uLnh;F7nPP7x29eJthgWvtQufGb;1,68;Niort;Montauban;01/01/2021;10/01/2021 00:00;44;73,92
43a9MiymA462HfbaAit4rn;iofz8TRLznhCe8MvMf6TDn;0,3444;Marseille;Avignon;01/01/2021;05/01/2021 00:00;40;13,776
NJEenWG8Xt884YNMBTNbUj;YUTZ5KEq8mm7HFJGZqxCxu;0,8208;Clichy;Cergy;01/01/2021;07/01/2021 00:00;25;20,52
E2hBbKWLKsVaprrFzgTdUW;3CCHeWCD6EnM24iAxbCfCr;1,589;Villeurbanne;Clermont-Ferrand;01/01/2021;10/01/2021 00:00;25;39,725
dUvbfY7gcnCwpJEwJWfyyj;F7nPP7x29eJthgWvtQufGb;1,68;Roubaix;Reims;01/01/2021;08/01/2021 00:00;35;58,8
e8ryMfnwsnmZtMpzt4pkmz;ZB6JsXYBZWhTAX6oojTKkR;0,1519;Bourges;Clermont-Ferrand;01/01/2021;04/01/2021 00:00;21;3,1899
jhQYLLnAqL2noSUEgsc2QB;FNB2bjUdGBUEitpecFRAaL;2,0644;Valence;Avignon;01/01/2021;10/01/2021 00:00;15;30,966
nxXRSqPAA2D3q9JSijMQas;CwNUeLRRdqm5DhwCmr743i;0,2867;Colmar;Reims;01/01/2021;06/01/2021 00:00;30;8,601
MM2vNCAPZM9dUCzHJAdw7L;KcEQgPTWKrvayEJwmxoquz;0,2433;Saint-Maur-des-Fossés;Cergy;01/01/2021;07/01/2021 00:00;43;10,4619
gQi59MNfDa5YFpVWxfmPin;oPLB2yoMM5AjYbkmSwsb32;0,0071;Boulogne-Billancourt;Cergy;01/01/2021;02/01/2021 00:00;47;0,3337
oFcCDeaXuFAUz3mGcCtvvm;WsxuxUmaHe5iUdAPmDqQoB;0,1257;Rueil-Malmaison;Cergy;01/01/2021;04/01/2021 00:00;17;2,1369
Hzyc5rdNykSbuxzzeYB3kC;Cn4Up5Np6U3s5xh8CDFZ6b;1,4476;Lyon;Clermont-Ferrand;01/01/2021;09/01/2021 00:00;34;49,2184
B9GhHBpdMRbywDxRHKkByd;DcJVvos8XBfEHvpZxCXNAm;0,4343;Angers;Cergy;01/01/2021;05/01/2021 00:00;19;8,2517
muxZ4qccrMWcfFsottj5ih;3nwbxBUemtMG75cVPs7q7R;1,3451;Valence;Avignon;01/01/2021;11/01/2021 00:00;20;26,902
FnHEF8ehJTiktV57tftESK;3CCHeWCD6EnM24iAxbCfCr;1,589;Nancy;Reims;01/01/2021;07/01/2021 00:00;6;9,534
M3TmFQRnreVJFwDs6VvP7X;FMyrrspTH7vhb6FWL45KhT;0,006;Montreuil;Cergy;01/01/2021;02/01/2021 00:00;35;0,21
ZLKCAZKcqkfSCXkEjrgRoa;3nEPuCWc9cUcPerm6aiJcN;1,7734;Saint-Nazaire;Cergy;01/01/2021;08/01/2021 00:00;5;8,867
ijkcKu2vZEb6Qr6B99LK5q;Nf8NfkMPuqUknmHtkq7w4c;0,1266;Sarcelles;Cergy;01/01/2021;05/01/2021 00:00;22;2,7852
9sDbFz9a29nzKtNSCn6hAf;mnEb7xGXa9dFMLPAkrZZoh;1,4152;Rouen;Cergy;01/01/2021;10/01/2021 00:00;6;8,4912
nK4iPf8nrGA9yivRH66ehS;Jor2NusSZhGuk46urjyqqz;0,002;Clermont-Ferrand;Clermont-Ferrand;01/01/2021;02/01/2021 00:00;40;0,08
4iroWtY6z9KrPjRbeJmN8t;Jor2NusSZhGuk46urjyqqz;0,002;Issy-les-Moulineaux;Cergy;01/01/2021;02/01/2021 00:00;27;0,054
FBTiXJoRESBhseZ26fzWxJ;4oxrPXkner2kvXqvLQiCXF;0,2384;Toulon;Avignon;01/01/2021;06/01/2021 00:00;46;10,9664
F6TArv4JCN8yzqqfgGtsr2;HwpqQKJKdGowCt9pgQKG7E;0,0053;Metz;Reims;01/01/2021;03/01/2021 00:00;42;0,2226
4JGsqZsd34NPPhkUeBwkFY;5jWDvvcUW6NL9RtTQDNQbH;0,5675;Saint-Denis;Cergy;01/01/2021;04/01/2021 00:00;23;13,0525
63dgtTqEBZ2EZMB5itUAjS;8v3pdBFxHkGYDcAdAzVBD3;0,004;Cannes;Avignon;01/01/2021;04/01/2021 00:00;32;0,128
bS77Bx7EnBo48viMPPqhKw;DcJVvos8XBfEHvpZxCXNAm;0,4343;Poitiers;Montauban;01/01/2021;10/01/2021 00:00;43;18,6749
QbUutLpUBnVqpNgTGHZrqD;khHNUxYZUEEiRkaVe2FyXg;2,0028;Saint-Maur-des-Fossés;Cergy;01/01/2021;11/01/2021 00:00;35;70,098
Pj2QBdyPf7nqkYFZLz92zf;kAh6oD4y4X3RK3zc5BQeo8;0,002;Bordeaux;Montauban;01/01/2021;06/01/2021 00:00;19;0,038
75fnycHBZuR3J7T8eLnUCS;mAxZ4tFQt37vYyS2VrYESk;0,226;Saint-Nazaire;Cergy;01/01/2021;07/01/2021 00:00;36;8,136
TXzmjupomgsyBXwSFrbuf6;Ma2dD37vT2kVzCKUECJJsi;0,9106;Nîmes;Avignon;01/01/2021;08/01/2021 00:00;27;24,5862
NECdkgqQmQ9eDF8waSeT2P;aBCDNfWx5TAkxbTTmQJEE4;0,1138;Perpignan;Montauban;01/01/2021;04/01/2021 00:00;42;4,7796
6bRULCEbm4ZyHQRsmXtkjj;mAxZ4tFQt37vYyS2VrYESk;0,226;Pantin;Cergy;01/01/2021;06/01/2021 00:00;24;5,424
jFTxtQEVbCkkm8a28jLXUZ;FNB2bjUdGBUEitpecFRAaL;2,0644;Pantin;Cergy;01/01/2021;07/01/2021 00:00;8;16,5152
JZdhNkyMgxtA746T6qeruu;oPLB2yoMM5AjYbkmSwsb32;0,0071;Champigny-sur-Marne;Cergy;01/01/2021;07/01/2021 00:00;23;0,1633
6uFjXMKvL5de35arRyHy5x;DcJVvos8XBfEHvpZxCXNAm;0,4343;Saint-Étienne;Clermont-Ferrand;02/01/2021;07/01/2021 00:00;9;3,9087
m6Ch64QZ9R9p8ZFpryPfYb;iEPqJGnxxp6ijYtsFdYCUr;0,163;Rueil-Malmaison;Cergy;02/01/2021;06/01/2021 00:00;26;4,238
Ct3kgvL9beKNfReCqHXAVU;BewerkQGyB5yToxS4jhRpb;0,0754;Montélimar;Avignon;02/01/2021;03/01/2021 00:00;6;0,4524
kdqJBDN6BLVv7sCDpWpbwe;eMZvEhv2562R9UEzTamYtC;2,7234;Aulnay-sous-Bois;Cergy;02/01/2021;16/01/2021 00:00;19;51,7446
RFH7DDFhaEQ8x2zEAW3Xtm;2qRALPgMv7KhK4bXqtsNLi;0,0372;Metz;Reims;02/01/2021;04/01/2021 00:00;5;0,186
Dk5aAH3dgPxeqG4U8nYjuM;8v3pdBFxHkGYDcAdAzVBD3;0,004;Belfort;Reims;02/01/2021;03/01/2021 00:00;30;0,12
9DLUmYgdHszybtr2cnrwpi;F7nPP7x29eJthgWvtQufGb;1,68;Colmar;Reims;02/01/2021;12/01/2021 00:00;23;38,64
SbrN9uBWEMHkmrsjgNB6cz;khHNUxYZUEEiRkaVe2FyXg;2,0028;Courbevoic;Cergy;02/01/2021;11/01/2021 00:00;28;56,0784
jFf9TzdwAjQgkoipHr8Ech;KcEQgPTWKrvayEJwmxoquz;0,2433;Saint-Maur-des-Fossés;Cergy;02/01/2021;11/01/2021 00:00;33;8,0289
eJZ8Cj7AUtU7FDQRZQNEZW;Jor2NusSZhGuk46urjyqqz;0,002;Boulogne-sur-Mer;Cergy;02/01/2021;03/01/2021 00:00;9;0,018
95WhPXxVGjyaCPXdhnwGv9;eMZvEhv2562R9UEzTamYtC;2,7234;Reims;Reims;02/01/2021;14/01/2021 00:00;11;29,9574
2HcHfTin7L3uRAzKX5xtQs;kAh6oD4y4X3RK3zc5BQeo8;0,002;Saint-Denis;Cergy;02/01/2021;04/01/2021 00:00;16;0,032
9UQhgWxUibbkGHLgMWmXBP;BewerkQGyB5yToxS4jhRpb;0,0754;Tours;Cergy;02/01/2021;04/01/2021 00:00;30;2,262
8qn8xJAmaQsULWvABDDoGd;WsxuxUmaHe5iUdAPmDqQoB;0,1257;Clermont-Ferrand;Clermont-Ferrand;02/01/2021;05/01/2021 00:00;8;1,0056
KupPC4Y7bqZTPYzWWFFA27;Ho42bGxZ8G2Lj8ngoYwHk3;0,006;Orléans;Cergy;02/01/2021;04/01/2021 00:00;26;0,156
eJAPsbgNRHrrnznCH3VtaT;mnEb7xGXa9dFMLPAkrZZoh;1,4152;Cherbourg;Cergy;02/01/2021;08/01/2021 00:00;9;12,7368
ecCPAc6fsLvgYh8oAyZV3s;CwNUeLRRdqm5DhwCmr743i;0,2867;Aubervilliers;Cergy;02/01/2021;07/01/2021 00:00;48;13,7616
i6FLEs2db4LNAVJv4oddcB;UPowTjKefgdmoKF4uF23CS;0,002;Nanterre;Cergy;02/01/2021;03/01/2021 00:00;43;0,086
UeE4GPJk5KQFvvkM3HTbjF;aBCDNfWx5TAkxbTTmQJEE4;0,1138;Lille;Reims;02/01/2021;03/01/2021 00:00;46;5,2348
